Electoral District,District_ID,Governorate,NIDAA TOUNES,ENNAHDHA,UPL,FRONT POPULAIRE,CPR,COURANT DEMOCRATIQUE,COURANT DE L'AMOUR,AL JOUMHOURI,BEJI CAIED SEBSI,MOHAMED MARZOUKI,HAMMA HAMMAMI,SLIM RIAHI,HECHMI EL HAMDI,BEJI CAIED SEBSI (run-off),MOHAMED MARZOUKI (run-off),TURNOUT (parliamentary),VALID (parliamentary),BLANK (parliamentary),CANCELLED (parliamentary),TURNOUT (presidential),VALID (presidential),BLANK (presidential),CANCELLED (presidential),TURNOUT (run-off),VALID (run-off),BLANK (run-off),CANCELLED (run-off),ILLETRACY RATIO,YOUTH RATIO,UNEMPLOYMENT RATIO,UNEMPLOYMENT AMONG HIGHER EDUCATION,HIGHER EDUCATION RATIO,MOBILE COVERAGE,COMPUTER COVERAGE,INTERNET ACCESS,URBANIZATION RATIO
Tunis,110,2,0.454031996,0.259556186,0.056534883,0.030688577,0.012542479,0.030109428,0.004213407,0.016091396,0.47,0.28,0.09,0.075,0.005,0.636219091,0.363780909,0.75105,0.96295,0.0139,0.02315,0.7191,0.9818,0.00615,0.012,0.6863,0.97405,0.00965,0.01625,0.111,0.3633,0.186,0.215,0.1786,0.93,0.26,0.22,1
Tunis 1,111,0,0.35873439,0.317372395,0.081593555,0.031658109,0.011982603,0.03215193,0.005146451,0.017242097,0.38,0.32,0.08,0.1,0,0.569403437,0.430596563,0.7206,0.9536,0.0177,0.0287,0.6876,0.9776,0.0078,0.0146,0.6525,0.972,0.0106,0.0173,0.111,0.3633,0.186,0.215,0.1786,0.93,0.26,0.22,1
Tunis 2,112,0,0.549329603,0.201739977,0.031476211,0.029719044,0.013102355,0.028066925,0.003280364,0.014940696,0.56,0.24,0.1,0.05,0.01,0.703034745,0.296965255,0.7815,0.9723,0.0101,0.0176,0.7506,0.986,0.0045,0.0094,0.7201,0.9761,0.0087,0.0152,0.111,0.3633,0.186,0.215,0.1786,0.93,0.26,0.22,1
Ariana,120,1,0.470134163,0.241170323,0.05193861,0.023776796,0.013768503,0.024628807,0.003811331,0.017670715,0.52,0.3,0.09,0.08,0,0.645211679,0.354788321,0.7374,0.9685,0.0132,0.0183,0.7054,0.9842,0.0056,0.0101,0.6733,0.976,0.0096,0.0144,0.118,0.3732,0.126,0.127,0.1944,0.948,0.28,0.219,0.9071
Ben Arous,130,1,0.3901337,0.284048078,0.059820285,0.044091735,0.014789739,0.033417965,0.004370326,0.026291327,0.41,0.32,0.1,0.09,0,0.576425554,0.423574446,0.7599,0.9669,0.0139,0.0192,0.729,0.9851,0.0055,0.0094,0.6861,0.9756,0.0101,0.0143,0.1,0.3689,0.168,0.197,0.1657,0.953,0.275,0.258,0.9061
Manouba,140,1,0.336624982,0.292829814,0.08378206,0.026401091,0.013417529,0.025019484,0.006509494,0.012974706,0.43,0.35,0.08,0.12,0.03,0.574257329,0.425742671,0.71,0.9453,0.0217,0.0331,0.6673,0.9721,0.0075,0.0203,0.6283,0.9712,0.0091,0.0196,0.169,0.3828,0.187,0.302,0.1063,0.908,0.135,0.109,0.7437
Nabeul,150,2,0.507019576,0.199539201,0.049127395,0.037626261,0.011667335,0.017915164,0.007527957,0.014656993,0.5,0.2,0.085,0.08,0,0.704379977,0.295620023,0.75285,0.9501,0.01715,0.03275,0.69195,0.9784,0.00705,0.0145,0.6592,0.97265,0.0103,0.01705,0.152,0.3647,0.1,0.314,0.0831,0.907,0.116,0.123,0.6637
Nabeul 1,151,0,0.500016952,0.199141538,0.047771456,0.041065144,0.009350864,0.020268117,0.005628149,0.016328413,0.49,0.2,0.09,0.08,0,0.703275995,0.296724005,0.7557,0.9566,0.0158,0.0276,0.6984,0.9796,0.007,0.0134,0.6681,0.9719,0.0112,0.0169,0.152,0.3647,0.1,0.314,0.0831,0.907,0.116,0.123,0.6637
Nabeul 2,152,0,0.5140222,0.199936864,0.050483333,0.034187378,0.013983806,0.01556221,0.009427765,0.012985573,0.51,0.2,0.08,0.08,0,0.70548396,0.29451604,0.75,0.9436,0.0185,0.0379,0.6855,0.9772,0.0071,0.0156,0.6503,0.9734,0.0094,0.0172,0.152,0.3647,0.1,0.314,0.0831,0.907,0.116,0.123,0.6637
Zaghouan,160,1,0.351891203,0.226403431,0.068848279,0.026870919,0.013232624,0.00822934,0.014893946,0.017675694,0.44,0.33,0,0.08,0.06,0.623367501,0.376632499,0.6903,0.9294,0.0267,0.044,0.6017,0.969,0.0102,0.0208,0.58,0.9735,0.0099,0.0166,0.256,0.3425,0.082,0.238,0.0561,0.842,0.044,0.038,0.3867
